"Token","Rating","TokenCount","RatingWideCount"
"very unusual",3,16,13990519
"very unusual",4,19,14958477
"very unusual",5,48,20382805
"very unusual",6,96,27408662
"very unusual",7,198,40176069
"very unusual",8,244,48706843
"very unusual",9,162,40264174
"very unusual",10,282,73929298
"very well",1,1328,25389211
"very well",2,817,11750820
"very well",3,1184,13990519
"very well",4,1623,14958477
"very well",5,2735,20382805
"very well",6,4510,27408662
"very well",7,8518,40176069
"very well",8,12456,48706843
"very well",9,10032,40264174
"very well",10,15410,73929298
"very, very close",1,1,25389211
"very, very close",2,3,11750820
"very, very close",3,1,13990519
"very, very close",4,4,14958477
"very, very close",5,0,20382805
"very, very close",6,5,27408662
"very, very close",7,5,40176069
"very, very close",8,16,48706843
"very, very close",9,13,40264174
"very, very close",10,20,73929298
"very, very worried",1,0,25389211
"very, very worried",2,0,11750820
"very, very worried",3,0,13990519
"very, very worried",4,1,14958477
"very, very worried",5,0,20382805
"very, very worried",6,0,27408662
"very, very worried",7,0,40176069
"very, very worried",8,0,48706843
"very, very worried",9,0,40264174
"very, very worried",10,1,73929298
"very, very wrong",1,9,25389211
"very, very wrong",2,13,11750820
"very, very wrong",3,6,13990519
"very, very wrong",4,8,14958477
"very, very wrong",5,5,20382805
"very, very wrong",6,5,27408662
"very, very wrong",7,3,40176069
"very, very wrong",8,6,48706843
"very, very wrong",9,21,40264174
"very, very wrong",10,22,73929298
"worried to death",1,1,25389211
"worried to death",2,0,11750820
"worried to death",3,0,13990519
"worried to death",4,0,14958477
"worried to death",5,0,20382805
"worried to death",6,2,27408662
"worried to death",7,0,40176069
"worried to death",8,2,48706843
"worried to death",9,0,40264174
"worried to death",10,1,73929298
